State,APMC,Commodity,Min Price,Modal Price,Max Price,Commodity Arrivals,Commodity Traded,Unit,Date
HARYANA,UKLANA APMC,AMERICAN-COTTON,"6,100","6,840","7,250",70,200,Qui,23-09-2024
ODISHA,BONAI,CAULIFLOWER,"3,200","3,200","3,200",200,200,Qui,23-09-2024
ODISHA,BONAI,BOTTLE GOURD,"2,200","2,200","2,200",200,200,Qui,23-09-2024
UTTARAKHAND,GADARPUR,PADDY-GRADE 1,"1,750","1,750","1,750",200,200,Qui,23-09-2024
ODISHA,KENDRAPARA,PUMPKIN,"1,000","1,000","1,100",199,199,Qui,23-09-2024
ODISHA,KORAPUT,POTATO SWEET,"2,000","2,000","2,000",197,197,Qui,23-09-2024
HARYANA,SIRSA,POTATO,800,850,850,196,196,Qui,23-09-2024
MAHARASHTRA,HINGANGHAT,CHANA (BENGAL GRAM),"5,930","6,900","7,345",205,196,Qui,23-09-2024
ODISHA,KENDRAPARA,POINTED GOURD (PARWAL),"3,100","3,100","3,200",196,196,Qui,23-09-2024
RAJASTHAN,JAIPUR F AND V MUHANA,GARLIC,"12,000","16,000","16,000",173,196,Qui,23-09-2024
TAMIL NADU,VILLUPURAM,PADDY(75 KG),"1,846","1,944","2,346",184,196,Qui,23-09-2024
ODISHA,JEYPORE,PAPAYA,"1,050","1,050","1,050",190,195,Qui,23-09-2024
CHHATTISGARH,NAVAPARA,SWARNA PADDY,"1,878","2,180","2,206",209,193,Qui,23-09-2024
HARYANA,CH DADRI,AMERICAN-COTTON,"6,250","6,800","6,850",626,193,Qui,23-09-2024
MADHYA PRADESH,HARDA,CHANA (BENGAL GRAM)-DESI,"5,490","9,300","9,300",695,193,Qui,23-09-2024
ODISHA,JEYPORE,LADY FINGER,"2,500","2,500","2,500",198,193,Qui,23-09-2024
MAHARASHTRA,NER PARASOPANT,SOYABEANS,"2,055","4,580","4,580",440,191,Qui,23-09-2024
RAJASTHAN,BHAWANI MANDI,MASOOR,"5,439","6,123","6,400",8,191,Qui,23-09-2024
UTTAR PRADESH,URAI,MUSTARD,"5,800","6,000","6,000",191,191,Qui,23-09-2024
HARYANA,RAIPUR RANI APMC,PUMPKIN,6,6,6,190,190,Kg,23-09-2024
MAHARASHTRA,KHAMGAON,CHANA (BENGAL GRAM),"6,320","6,450","6,700",0,190,Qui,23-09-2024
RAJASTHAN,DEEDWANA,BAJRA,"2,250","2,250","2,250",190,190,Qui,23-09-2024
GUJARAT,AMRELI,WHEAT,"2,575","2,700","2,905",632,189,Qui,23-09-2024
UTTAR PRADESH,PURANPUR,ONION,"2,600","2,600","2,600",189,189,Qui,23-09-2024
HIMACHAL PRADESH,BANDROL,POMEGRANATE,"5,500","10,000","16,000",203,188,Qui,23-09-2024
TAMIL NADU,TINDIVANAM,GROUNDNUT KERNEL_80 KG(TN),"6,199","8,625","9,969",192,187,Qui,23-09-2024
TAMIL NADU,SANKARAPURAM,PADDY(75 KG),"2,014","2,204","2,535",189,186,Qui,23-09-2024
TELANGANA,SURYAPETA,PADDY HMT,"2,156","2,929","2,929",190,185,Qui,23-09-2024
CHHATTISGARH,RAJNANDGAON,PADDY-SWARNAMASOORI,"2,050","2,165","2,200",187,184,Qui,23-09-2024
HARYANA,SIRSA,APPLE,"8,000","9,000","9,000",184,184,Qui,23-09-2024
MAHARASHTRA,BARAMATI,JAGGERY,"3,850","4,100","4,150",456,184,Qui,23-09-2024
RAJASTHAN,BHAWANI MANDI,MUSTARD,"5,500","5,851","6,300",81,183,Qui,23-09-2024
TAMIL NADU,THIRUVADANAI,PADDY,"1,600","1,600","1,600",183,183,Qui,23-09-2024
RAJASTHAN,BIKANER GRAIN,GUAR SEEDS,"5,161","5,212","5,290",182,182,Qui,23-09-2024
RAJASTHAN,SRI VIJAYNAGAR,MUSTARD,"5,535","6,290","6,371",182,182,Qui,23-09-2024
RAJASTHAN,AJMER F AND V,GREEN CHILLI,"1,816","2,538","2,564",148,181,Qui,23-09-2024
MADHYA PRADESH,MANDLA,WHEAT,"2,425","2,470","2,470",180,180,Qui,23-09-2024
RAJASTHAN,BUNDI,URAD (BLACK GRAM),"4,250","7,976","8,150",100,180,Qui,23-09-2024
RAJASTHAN,JAIPUR F AND V MUHANA,SPINACH (PALAK),"2,400","2,400","2,400",0,180,Qui,23-09-2024
GUJARAT,BAGASARA,COTTON,"6,750","7,750","7,750",179,179,Qui,23-09-2024
HARYANA,GURGAON,BANANA,"1,655","1,655","2,855",16,179,Qui,23-09-2024
RAJASTHAN,AJMER F AND V,CUCUMBER,"2,000","2,002","2,032",109,177,Qui,23-09-2024
RAJASTHAN,KOTPUTLI,MUSTARD,"2,500","6,200","6,250",5,176,Qui,23-09-2024
TAMIL NADU,DESUR,PADDY RNR (TN),"2,240","2,507","2,975",172,176,Qui,23-09-2024
